grid,rho0,n_agents,seed,force_scheme,agent_radius,agent_mass,v0_max,steps_recorded,final_step,total_raw_contact_detections,total_unique_contact_events,peak_active_contacts,peak_max_rho,peak_max_u,minimum_rho_safety_margin,minimum_velocity_safety_margin,first_raw_contact_step,first_unique_contact_step,mean_agent_speed_over_time,peak_agent_speed_mean_field
100x100x100,1.0,30,76,nearest,5.0,25.0,0.2,100,99,7.0,7.0,1.0,1.0138753625673746,0.0422812643140784,18.986124637432624,1.0577187356859217,6.0,6.0,0.25198743224673403,0.2523170682853682
100x100x100,1.0,30,77,nearest,5.0,25.0,0.2,100,99,9.0,3.0,1.0,1.0159406878315478,0.0492984309171909,18.98405931216845,1.0507015690828092,13.0,13.0,0.2518796005651277,0.2523154962416398
100x100x100,1.0,30,78,nearest,5.0,25.0,0.2,100,99,8.0,8.0,1.0,1.015059488449663,0.0493704600673133,18.984940511550338,1.0506295399326868,3.0,3.0,0.2517975586775082,0.2523220129956126
100x100x100,1.0,30,79,nearest,5.0,25.0,0.2,100,99,1.0,1.0,1.0,1.0120428495215334,0.0412917008421631,18.987957150478465,1.058708299157837,51.0,51.0,0.25202476722145023,0.2523208819828463
100x100x100,1.0,30,80,nearest,5.0,25.0,0.2,100,99,16.0,9.0,2.0,1.015861955053591,0.0479307020176349,18.98413804494641,1.0520692979823651,17.0,17.0,0.25189852625998604,0.2523229864990675
100x100x100,1.0,30,81,nearest,5.0,25.0,0.2,100,99,5.0,5.0,2.0,1.0129261443190718,0.0452465177097118,18.98707385568093,1.0547534822902882,4.0,4.0,0.2520155344847101,0.2523210347420871
100x100x100,1.0,30,82,nearest,5.0,25.0,0.2,100,99,4.0,4.0,1.0,1.0123515388255533,0.0466149271301727,18.987648461174448,1.0533850728698273,30.0,30.0,0.25196287783171833,0.2523213154497494
100x100x100,1.0,30,83,nearest,5.0,25.0,0.2,100,99,4.0,4.0,1.0,1.016135996196038,0.0493877587927506,18.983864003803962,1.0506122412072494,29.0,29.0,0.2518283150711187,0.2523253536405415
100x100x100,1.0,30,84,nearest,5.0,25.0,0.2,100,99,8.0,8.0,1.0,1.013210702264916,0.043283463783668,18.986789297735083,1.056716536216332,4.0,4.0,0.25192409839592894,0.2523145280221038
100x100x100,1.0,30,85,nearest,5.0,25.0,0.2,100,99,8.0,8.0,1.0,1.01554012030908,0.0453301617575875,18.98445987969092,1.0546698382424127,7.0,7.0,0.2519604010609783,0.2523217088096822
