nx,ny,nz,rho0,n_agents,steps_requested,steps_completed,seed,force_scheme,stable,stop_reason,raw_contact_detections,unique_contact_events,final_active_contacts,max_rho_observed,max_u_observed,grid,steps,agent_radius,agent_mass,v0_max,rho_threshold,max_vel,tau_bgk,condition_dir,grid_volume,grid_side
100,100,100,1.0,30,100,100,107,nearest,True,completed,3,3,0,1.0145861263813278,0.0479423638713682,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,108,nearest,True,completed,7,7,0,1.0147275476737048,0.0465454236735754,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,109,nearest,True,completed,8,8,0,1.0132597706678173,0.0405473592709184,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,110,nearest,True,completed,3,3,0,1.0160517257152524,0.0478725195123946,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,111,nearest,True,completed,16,12,0,1.0151541843017151,0.0472144780682533,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,112,nearest,True,completed,5,5,0,1.0151116951857466,0.0490816755671321,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,113,nearest,True,completed,6,6,0,1.0140348319139785,0.047989506515856,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,114,nearest,True,completed,6,6,0,1.0153408528652967,0.0469998959905696,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,115,nearest,True,completed,3,3,0,1.01569526531204,0.0455365083497476,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,116,nearest,True,completed,2,2,0,1.0146897281637968,0.048677888396248,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,117,nearest,True,completed,11,5,0,1.015300603970806,0.0485394690245988,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,118,nearest,True,completed,4,4,0,1.0152769085912976,0.0447532045541534,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,119,nearest,True,completed,3,3,1,1.0138065121168498,0.0486081749165452,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,120,nearest,True,completed,8,8,0,1.0129474602628972,0.0431446662747177,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
